Masse;Volts
0;-41.5
500.0;-266.125
1000.0;-324.89814814814815
1500.0;-347.6111111111111
2000.0;-376.26388888888886
2500.0;-387.0115740740741
3000.0;-390.27777777777777
3500.0;-402.10243055555554
4000.0;-407.7700617283951
