Masse;Volts
0;-130.0
500.0;-243.4375
1000.0;-265.0416666666667
1500.0;-299.0669642857143
2000.0;-312.76785714285717
2500.0;-314.3621031746032
3000.0;-320.0068027210885
3500.0;-327.3809523809524
4000.0;-330.73368606701945
