Masse;Volts
0;-376.0
500.0;-452.5
1000.0;-478.0
1500.0;-446.5
2000.0;-458.2
2500.0;-446.5
3000.0;-439.85714285714283
3500.0;-445.125
4000.0;-440.1111111111111
