Masse;Volts
0;-182.2
0.5;-287.1625
1.0;-302.06666666666666
1.5;-307.675
2.0;-324.84000000000003
2.5;-331.41212121212124
3.0;-340.0675324675325
3.5;-339.7778409090909
4.0;-341.9991064491065
