Masse;Volts
0;-317.0
500.0;-293.5
1000.0;-285.6666666666667
1500.0;-337.75
2000.0;-324.2
2500.0;-315.1666666666667
3000.0;-307.0
3500.0;-330.375
4000.0;-349.77777777777777
